folder_name,noise_level,nlm_h,nlm_tws,nlm_sws,gb_kernel,clahe_cl,clahe_tgs,thresh_bs,thresh_c,morphx_kernel,kernel_open,kernel_close
"PL",6.985424958436194,7,29,42,"(3, 3)",2.2,"(20, 20)",33,9.1,"(2, 2)","(2, 2)","(5, 5)"
"PL",7.943039951634843,5,29,42,"(3, 3)",2.2,"(20, 20)",33,9.1,"(2, 2)","(2, 2)","(5, 5)"
"PL",25.35782086161021,5,29,42,"(3, 3)",2.2,"(20, 20)",33,9.1,"(2, 2)","(2, 2)","(5, 5)"
"PL",30.210073504844637,5,29,42,"(3, 3)",2.2,"(20, 20)",33,9.1,"(2, 2)","(2, 2)","(5, 5)"
"PL",33.5369372605364,7,29,42,"(3, 3)",2.2,"(20, 20)",33,9.1,"(2, 2)","(2, 2)","(5, 5)"
"PL",33.71251182592242,7,29,42,"(3, 3)",2.2,"(20, 20)",43,11.9,"(2, 2)","(2, 2)","(5, 5)"
"PL",35.1704890483117,10,25,42,"(3, 3)",2.5,"(20, 20)",33,9.1,"(2, 2)","(2, 2)","(6, 6)"
"PL",39.063061434334074,7,30,42,"(3, 3)",2.2,"(20, 20)",33,9.1,"(2, 2)","(2, 2)","(6, 5)"
"HR",25.77231279358939,5,29,42,"(3, 3)",2.2,"(20, 20)",33,9.1,"(2, 2)","(2, 2)","(5, 5)"
"HR",32.444198653185495,10,29,43,"(3, 3)",2.3,"(20, 20)",33,9.1,"(2, 2)","(2, 2)","(5, 5)"
"HR",33.38063607085346,7,29,42,"(3, 3)",2.2,"(20, 20)",33,9.1,"(2, 2)","(2, 2)","(5, 5)"
"HR",34.41084959816303,7,29,42,"(3, 3)",2.2,"(20, 20)",33,9.1,"(2, 2)","(2, 2)","(5, 5)"
"HR",34.689350597209675,7,29,42,"(3, 3)",2.2,"(20, 20)",33,9.1,"(2, 2)","(2, 2)","(5, 5)"
"HR",35.751185395922235,7,29,42,"(3, 3)",2.2,"(20, 20)",33,9.1,"(2, 2)","(2, 2)","(5, 5)"
"HR",36.03408540523087,14,30,44,"(3, 3)",2,"(20, 20)",33,9.1,"(2, 2)","(2, 2)","(5, 5)"
"HR",36.43765854895992,7,29,42,"(3, 3)",2.2,"(20, 20)",33,9.1,"(2, 2)","(2, 2)","(5, 5)"
"HR",36.76650256849315,15,30,44,"(3, 3)",2,"(20, 20)",33,9.1,"(2, 2)","(2, 2)","(5, 5)"
"HR",41.7060248065194,7,29,42,"(3, 3)",2.2,"(20, 20)",33,9.1,"(2, 2)","(2, 2)","(5, 5)"
"MD",36.265324939952414,9,29,42,"(3, 3)",2.2,"(20, 20)",33,9.1,"(2, 2)","(2, 2)","(5, 5)"
"MD",37.54488725990535,9,29,43,"(3, 3)",2.1,"(20, 20)",33,9.1,"(2, 2)","(2, 2)","(5, 5)"
"MD",38.17163120567376,18,20,42,"(3, 3)",1,"(20, 20)",33,9.1,"(2, 2)","(2, 2)","(5, 5)"
"MD",38.86193493666804,7,29,42,"(3, 3)",2.2,"(20, 20)",33,9.1,"(2, 2)","(2, 2)","(5, 5)"
"MD",39.6308216584627,9,29,42,"(3, 3)",2.2,"(20, 20)",33,9.1,"(2, 2)","(2, 2)","(5, 5)"
"HU",29.417988673867388,11,30,42,"(3, 3)",2.2,"(20, 20)",33,9.1,"(2, 2)","(2, 2)","(6, 6)"
"HU",31.428166351606805,18,20,42,"(3, 3)",1,"(20, 20)",33,9.1,"(2, 2)","(2, 2)","(5, 5)"
